Blunt Object,1980,1,165
Blunt Object,1980,2,180
Blunt Object,1980,3,173
Blunt Object,1980,4,169
Blunt Object,1980,5,206
Blunt Object,1980,6,205
Blunt Object,1980,7,224
Blunt Object,1980,8,251
Blunt Object,1980,9,221
Blunt Object,1980,10,217
Blunt Object,1980,11,191
Blunt Object,1980,12,195
Blunt Object,1981,1,201
Blunt Object,1981,2,194
Blunt Object,1981,3,217
Blunt Object,1981,4,181
Blunt Object,1981,5,179
Blunt Object,1981,6,172
Blunt Object,1981,7,225
Blunt Object,1981,8,201
Blunt Object,1981,9,170
Blunt Object,1981,10,171
Blunt Object,1981,11,142
Blunt Object,1981,12,133
Blunt Object,1982,1,174
Blunt Object,1982,2,164
Blunt Object,1982,3,189
Blunt Object,1982,4,163
Blunt Object,1982,5,222
Blunt Object,1982,6,191
Blunt Object,1982,7,207
Blunt Object,1982,8,213
Blunt Object,1982,9,206
Blunt Object,1982,10,219
Blunt Object,1982,11,177
Blunt Object,1982,12,158
Blunt Object,1983,1,189
Blunt Object,1983,2,153
Blunt Object,1983,3,193
Blunt Object,1983,4,183
Blunt Object,1983,5,214
Blunt Object,1983,6,173
Blunt Object,1983,7,218
Blunt Object,1983,8,199
Blunt Object,1983,9,215
Blunt Object,1983,10,206
Blunt Object,1983,11,176
Blunt Object,1983,12,235
Blunt Object,1984,1,198
Blunt Object,1984,2,175
Blunt Object,1984,3,160
Blunt Object,1984,4,170
Blunt Object,1984,5,188
Blunt Object,1984,6,174
Blunt Object,1984,7,170
Blunt Object,1984,8,183
Blunt Object,1984,9,173
Blunt Object,1984,10,181
Blunt Object,1984,11,185
Blunt Object,1984,12,202
Blunt Object,1985,1,205
Blunt Object,1985,2,178
Blunt Object,1985,3,162
Blunt Object,1985,4,165
Blunt Object,1985,5,177
Blunt Object,1985,6,171
Blunt Object,1985,7,201
Blunt Object,1985,8,233
Blunt Object,1985,9,170
Blunt Object,1985,10,177
Blunt Object,1985,11,188
Blunt Object,1985,12,146
Blunt Object,1986,1,192
Blunt Object,1986,2,170
Blunt Object,1986,3,213
Blunt Object,1986,4,198
Blunt Object,1986,5,209
Blunt Object,1986,6,214
Blunt Object,1986,7,247
Blunt Object,1986,8,241
Blunt Object,1986,9,204
Blunt Object,1986,10,191
Blunt Object,1986,11,160
Blunt Object,1986,12,182
Blunt Object,1987,1,177
Blunt Object,1987,2,174
Blunt Object,1987,3,199
Blunt Object,1987,4,185
Blunt Object,1987,5,176
Blunt Object,1987,6,177
Blunt Object,1987,7,220
Blunt Object,1987,8,223
Blunt Object,1987,9,164
Blunt Object,1987,10,189
Blunt Object,1987,11,178
Blunt Object,1987,12,168
Blunt Object,1988,1,186
Blunt Object,1988,2,166
Blunt Object,1988,3,180
Blunt Object,1988,4,165
Blunt Object,1988,5,182
