434,0,1,0,0,0,0,0,0,0,0,0,0
18,1,1,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,0,0,0,0,0,0,0
25,3,1,0,0,0,0,0,0,0,0,0,0
16,4,1,0,0,0,0,0,0,0,0,0,0
9,5,1,0,0,0,0,0,0,0,0,0,0
19,6,1,0,0,0,0,0,0,0,0,0,0
0,7,1,0,0,0,0,0,0,0,0,0,0
1,8,1,0,0,0,0,0,0,0,0,0,0
5,9,1,0,0,0,0,0,0,0,0,0,0
6,10,1,0,0,0,0,0,0,0,0,0,0
23,11,1,0,0,0,0,0,0,0,0,0,0
14,12,1,0,0,0,0,0,0,0,0,0,0
59,13,1,0,0,0,0,0,0,0,0,0,0
34,14,1,0,0,0,0,0,0,0,0,0,0
49,15,1,0,0,0,0,0,0,0,0,0,0
21,16,1,0,0,0,0,0,0,0,0,0,0
10,17,1,0,0,0,0,0,0,0,0,0,0
13,18,1,0,0,0,0,0,0,0,0,0,0
6,19,1,0,0,0,0,0,0,0,0,0,0
32,20,1,0,0,0,0,0,0,0,0,0,0
1,21,1,0,0,0,0,0,0,0,0,0,0
6,22,1,0,0,0,0,0,0,0,0,0,0
1,23,1,0,0,0,0,0,0,0,0,0,0
3,24,1,0,0,0,0,0,0,0,0,0,0
281,25,1,0,0,0,0,0,0,0,0,0,0
671,26,1,0,0,0,0,0,0,0,0,0,0
67,27,1,0,0,0,0,0,0,0,0,0,0
407,0,2,434,0,0,0,0,0,0,0,0,0
21,1,2,18,0,0,0,0,0,0,0,0,0
5,2,2,1,0,0,0,0,0,0,0,0,0
9,3,2,25,0,0,0,0,0,0,0,0,0
9,4,2,16,0,0,0,0,0,0,0,0,0
15,5,2,9,0,0,0,0,0,0,0,0,0
25,6,2,19,0,0,0,0,0,0,0,0,0
1,7,2,0,0,0,0,0,0,0,0,0,0
0,8,2,1,0,0,0,0,0,0,0,0,0
0,9,2,5,0,0,0,0,0,0,0,0,0
3,10,2,6,0,0,0,0,0,0,0,0,0
23,11,2,23,0,0,0,0,0,0,0,0,0
11,12,2,14,0,0,0,0,0,0,0,0,0
64,13,2,59,0,0,0,0,0,0,0,0,0
37,14,2,34,0,0,0,0,0,0,0,0,0
52,15,2,49,0,0,0,0,0,0,0,0,0
17,16,2,21,0,0,0,0,0,0,0,0,0
11,17,2,10,0,0,0,0,0,0,0,0,0
