-1,2010,1,21,19.943
0,2010,1,20,30.341
5,2010,1,11,8.4917
10,2010,1,6,12.081
15,2010,1,144,140.58
20,2010,1,221,224.19
25,2010,1,168,183.17
30,2010,1,137,142.5
35,2010,1,99,119.75
40,2010,1,92,94.522
45,2010,1,78,89.267
50,2010,1,60,65.79
55,2010,1,59,43.419
60,2010,1,32,28.138
65,2010,1,19,20.198
70,2010,1,14,13.523
75,2010,1,10,11.799
80,2010,1,13,9.5586
85,2010,1,8,5.7356
90,2010,1,1,3.0066
95,2010,1,7,16.237
-1,2010,2,18,20.327
0,2010,2,35,29.419
5,2010,2,6,9.9642
10,2010,2,6,12.662
15,2010,2,123,134.62
20,2010,2,142,207.61
25,2010,2,149,170.16
30,2010,2,100,131.64
35,2010,2,71,103.67
40,2010,2,80,82.815
45,2010,2,73,82.358
50,2010,2,54,61.346
55,2010,2,34,46.518
60,2010,2,29,28.638
65,2010,2,12,18.766
70,2010,2,10,10.654
75,2010,2,11,11.98
80,2010,2,4,10.531
85,2010,2,3,4.8272
90,2010,2,1,2.9577
95,2010,2,13,15.557
-1,2010,3,31,23.235
0,2010,3,43,33.086
5,2010,3,11,8.6223
10,2010,3,8,11.472
15,2010,3,133,136.62
20,2010,3,247,207.43
25,2010,3,184,170.88
30,2010,3,143,129.17
35,2010,3,99,101.72
40,2010,3,91,90.311
45,2010,3,84,83.18
50,2010,3,57,62.749
55,2010,3,28,44.465
60,2010,3,22,28.33
65,2010,3,24,21.329
70,2010,3,8,14.127
75,2010,3,10,11.658
80,2010,3,6,9.485
85,2010,3,8,6.6593
90,2010,3,0,1.4514
95,2010,3,22,16.729
-1,2010,4,15,22.034
0,2010,4,41,31.657
5,2010,4,11,9.9666
10,2010,4,9,11.643
15,2010,4,149,146.96
20,2010,4,241,242.25
25,2010,4,192,182.99
30,2010,4,170,130.02
35,2010,4,110,109.79
40,2010,4,82,99.96
45,2010,4,85,80.608
50,2010,4,67,64.424
55,2010,4,59,40.977
60,2010,4,36,27.148
65,2010,4,13,20.237
70,2010,4,10,12.553
75,2010,4,5,11.142
80,2010,4,8,9.0507
85,2010,4,7,4.9543
90,2010,4,4,2.0245
95,2010,4,7,15.122
-1,2010,5,24,21.211
0,2010,5,28,35.076
5,2010,5,7,9.3017
10,2010,5,8,11.655
15,2010,5,159,150.01
20,2010,5,246,232.41
25,2010,5,221,192.19
30,2010,5,166,169.57
35,2010,5,95,105.43
40,2010,5,100,94.326
45,2010,5,79,80.999
50,2010,5,60,63.293
55,2010,5,41,43.02
60,2010,5,26,30.639
65,2010,5,18,18.227
70,2010,5,16,13.354
75,2010,5,14,9.3328
80,2010,5,10,8.062
85,2010,5,3,7.3686
90,2010,5,3,2.1767
95,2010,5,13,15
-1,2010,6,24,21.286
0,2010,6,32,32.397
5,2010,6,8,12.277
10,2010,6,3,11.809
15,2010,6,161,161.27
20,2010,6,214,245.96
25,2010,6,207,205.08
30,2010,6,176,163.18
35,2010,6,103,106.21
40,2010,6,85,95.115
45,2010,6,77,82.995
50,2010,6,64,62.554
55,2010,6,53,45.938
60,2010,6,30,27.865
65,2010,6,20,20.029
70,2010,6,14,12.466
75,2010,6,11,11.565
80,2010,6,13,7.9421
85,2010,6,7,6.0011
90,2010,6,1,2.3996
95,2010,6,12,13.078
-1,2010,7,12,21.414
0,2010,7,41,36.567
5,2010,7,14,9.8935
10,2010,7,14,11.832
15,2010,7,164,166.29
20,2010,7,246,253.46
25,2010,7,228,223.63
30,2010,7,172,159.9
35,2010,7,118,124.72
40,2010,7,107,98.736
45,2010,7,78,92.673
50,2010,7,63,64.117
55,2010,7,48,47.372
60,2010,7,36,30.242
65,2010,7,14,18.629
70,2010,7,9,12.819
75,2010,7,16,10.846
80,2010,7,11,9.0241
85,2010,7,7,6.668
90,2010,7,4,2.2349
95,2010,7,17,17.615
-1,2010,8,20,21.942
0,2010,8,29,33.579
5,2010,8,5,9.1606
10,2010,8,13,11.277
15,2010,8,129,162.33
20,2010,8,232,246.65
25,2010,8,214,201.34
30,2010,8,142,155.38
35,2010,8,137,112.51
40,2010,8,94,99.595
45,2010,8,90,84.439
50,2010,8,90,66.678
55,2010,8,58,44.297
60,2010,8,42,32.396
65,2010,8,27,20.555
70,2010,8,14,13.335
75,2010,8,6,13.468
80,2010,8,6,10.404
85,2010,8,5,6.9048
90,2010,8,1,2.5397
95,2010,8,10,16.421
-1,2010,9,18,20.34
0,2010,9,41,32.283
5,2010,9,15,9.8165
10,2010,9,24,11.646
15,2010,9,142,144.19
20,2010,9,232,237.43
25,2010,9,183,196.63
30,2010,9,147,154.34
35,2010,9,107,118.33
40,2010,9,98,90.834
45,2010,9,56,82.157
50,2010,9,54,66.733
55,2010,9,54,48.609
60,2010,9,25,33.904
65,2010,9,17,18.181
70,2010,9,7,13.174
75,2010,9,8,11.741
80,2010,9,8,9.6611
85,2010,9,4,6.2428
90,2010,9,2,2.7576
95,2010,9,10,14.668
-1,2010,10,19,21.927
0,2010,10,26,33.566
5,2010,10,7,10.66
10,2010,10,10,14.479
15,2010,10,140,141.89
20,2010,10,227,215.67
25,2010,10,169,192.92
30,2010,10,136,151.5
35,2010,10,123,105.85
40,2010,10,79,95.531
45,2010,10,101,82.915
50,2010,10,85,66.29
55,2010,10,50,47.835
60,2010,10,34,30.745
65,2010,10,25,21.069
70,2010,10,18,12.487
75,2010,10,12,12.225
80,2010,10,7,9.0769
85,2010,10,4,5.3084
90,2010,10,2,2.4501
95,2010,10,18,14.493
-1,2010,11,20,20.735
0,2010,11,38,32.725
5,2010,11,9,9.8612
10,2010,11,13,13.969
15,2010,11,153,149.28
20,2010,11,226,217.82
25,2010,11,171,191.48
30,2010,11,129,144.73
35,2010,11,104,116.9
40,2010,11,72,89.443
45,2010,11,95,83.688
50,2010,11,66,67.427
55,2010,11,33,48.391
60,2010,11,31,27.744
65,2010,11,19,20.825
70,2010,11,14,12.38
75,2010,11,7,11.537
80,2010,11,7,9.1929
85,2010,11,3,4.9306
90,2010,11,1,1.9036
95,2010,11,5,16.033
-1,2010,12,16,19.226
0,2010,12,26,34.361
5,2010,12,8,11.039
10,2010,12,14,14.411
15,2010,12,132,140.68
20,2010,12,193,220.34
25,2010,12,169,193.2
30,2010,12,141,144.29
35,2010,12,85,120.39
40,2010,12,80,93.389
45,2010,12,78,86.608
50,2010,12,79,74.274
55,2010,12,36,45.506
60,2010,12,36,33.163
65,2010,12,17,21
70,2010,12,16,12.763
75,2010,12,2,9.9861
80,2010,12,8,9.0034
85,2010,12,4,4.7408
90,2010,12,1,2.1515
95,2010,12,11,13.556
-1,2011,1,28,20.124
0,2011,1,33,29.43
5,2011,1,10,10.221
10,2011,1,10,12.704
15,2011,1,106,139.39
20,2011,1,226,217.16
25,2011,1,184,179.51
30,2011,1,136,138.67
35,2011,1,104,106.34
40,2011,1,87,87.165
45,2011,1,84,85.839
50,2011,1,60,72.047
55,2011,1,48,48.06
60,2011,1,23,32.557
65,2011,1,17,19.23
70,2011,1,15,15.099
75,2011,1,10,8.4912
80,2011,1,13,9.3025
85,2011,1,3,5.7045
90,2011,1,2,2.059
95,2011,1,7,11.722
-1,2011,2,19,20.135
0,2011,2,27,33.052
5,2011,2,4,9.2409
10,2011,2,11,14.34
15,2011,2,91,124.26
20,2011,2,147,198.66
25,2011,2,172,165.4
30,2011,2,96,123.03
35,2011,2,64,91.806
40,2011,2,67,79.385
45,2011,2,64,79.624
50,2011,2,47,61.732
55,2011,2,43,39.979
60,2011,2,29,29.073
65,2011,2,14,16.823
70,2011,2,7,12.62
75,2011,2,7,9.2544
80,2011,2,8,8.5135
85,2011,2,2,3.6257
90,2011,2,3,2.5919
95,2011,2,4,12.199
-1,2011,3,28,23.665
0,2011,3,27,33.609
5,2011,3,13,8.8339
10,2011,3,7,13.11
15,2011,3,127,127.24
20,2011,3,195,208.34
25,2011,3,146,180.3
30,2011,3,123,129.15
35,2011,3,76,95.871
40,2011,3,90,80.712
45,2011,3,86,82.051
50,2011,3,77,62.948
55,2011,3,59,43.266
60,2011,3,25,29.223
65,2011,3,9,20.177
70,2011,3,11,13.456
75,2011,3,10,8.606
80,2011,3,12,8.9984
85,2011,3,3,5.4569
90,2011,3,4,1.7302
95,2011,3,8,13.429
-1,2011,4,12,21.885
0,2011,4,34,31.86
5,2011,4,14,10.341
10,2011,4,13,12.005
15,2011,4,122,141.63
20,2011,4,241,220.2
25,2011,4,181,172.29
30,2011,4,129,141.8
35,2011,4,118,93.208
40,2011,4,97,84.611
45,2011,4,87,80.198
50,2011,4,74,65.649
55,2011,4,41,48.222
60,2011,4,33,30.598
65,2011,4,22,16.231
70,2011,4,10,12.266
75,2011,4,11,8.4535
80,2011,4,6,10.268
85,2011,4,8,4.0591
90,2011,4,2,3.648
95,2011,4,13,7.7739
-1,2011,5,25,21.181
0,2011,5,40,29.985
5,2011,5,12,9.9079
10,2011,5,8,12.766
15,2011,5,137,142.61
20,2011,5,263,236.94
25,2011,5,199,202.94
30,2011,5,166,150.26
35,2011,5,109,97.793
40,2011,5,110,93.638
45,2011,5,80,79.409
50,2011,5,76,64.162
55,2011,5,43,43.011
60,2011,5,32,30.032
65,2011,5,19,16.896
70,2011,5,11,13.985
75,2011,5,8,10.287
80,2011,5,12,9.785
85,2011,5,5,5.486
90,2011,5,0,2.8211
95,2011,5,11,11.378
-1,2011,6,20,21.629
0,2011,6,21,32.526
5,2011,6,8,14.274
10,2011,6,18,11.363
15,2011,6,162,148.01
20,2011,6,233,240.54
25,2011,6,183,201.49
30,2011,6,136,152.24
35,2011,6,100,105.08
40,2011,6,72,95.88
45,2011,6,102,82.839
50,2011,6,71,66.78
55,2011,6,50,46.924
60,2011,6,33,28.391
65,2011,6,12,19.414
70,2011,6,24,12.089
75,2011,6,6,9.9833
80,2011,6,7,10.662
85,2011,6,3,6.0443
90,2011,6,4,1.9476
95,2011,6,11,11.506
-1,2011,7,9,19.426
0,2011,7,38,33.02
5,2011,7,10,12.048
10,2011,7,10,14.05
15,2011,7,158,157.79
20,2011,7,255,255.88
25,2011,7,215,200.18
30,2011,7,167,144.02
35,2011,7,126,108.66
40,2011,7,78,88.637
45,2011,7,93,89.96
50,2011,7,89,67.58
55,2011,7,47,47.095
60,2011,7,32,31.569
65,2011,7,20,16.731
70,2011,7,17,12.857
75,2011,7,8,10.63
80,2011,7,11,9.954
85,2011,7,12,5.7723
90,2011,7,3,3.0214
95,2011,7,12,13.853
-1,2011,8,23,20.786
0,2011,8,35,30.15
5,2011,8,12,9.4002
10,2011,8,8,12.923
15,2011,8,133,151.51
20,2011,8,227,247.34
25,2011,8,215,213.93
30,2011,8,144,151.05
35,2011,8,117,130.13
40,2011,8,97,89.596
45,2011,8,89,89.3
50,2011,8,56,79.956
55,2011,8,62,49.421
60,2011,8,26,33.918
65,2011,8,15,19.432
70,2011,8,14,15.896
75,2011,8,9,8.3726
80,2011,8,8,9.3324
85,2011,8,4,6.8319
90,2011,8,6,2.4253
95,2011,8,14,11.192
-1,2011,9,18,18.508
0,2011,9,31,34.681
5,2011,9,8,11.997
10,2011,9,10,13.969
15,2011,9,124,134.93
20,2011,9,230,234.79
25,2011,9,179,186.26
30,2011,9,143,147.98
35,2011,9,105,111.66
40,2011,9,84,95.378
45,2011,9,92,85.202
50,2011,9,66,66.21
55,2011,9,53,49.136
60,2011,9,35,28.669
65,2011,9,31,17.459
70,2011,9,10,14.622
75,2011,9,7,9.7391
80,2011,9,7,8.7141
85,2011,9,4,5.7394
90,2011,9,3,3.6713
95,2011,9,8,13.635
-1,2011,10,8,20.61
0,2011,10,30,32.525
5,2011,10,3,10.287
10,2011,10,11,11.215
15,2011,10,128,140.66
20,2011,10,239,227.97
25,2011,10,186,175.88
30,2011,10,139,143.87
35,2011,10,110,113.28
40,2011,10,99,87.6
45,2011,10,88,95.846
50,2011,10,56,72.357
55,2011,10,49,49.468
60,2011,10,31,31.702
65,2011,10,14,22.093
70,2011,10,14,15.574
75,2011,10,2,10.841
80,2011,10,12,8.8087
85,2011,10,3,5.3556
90,2011,10,5,3.5287
95,2011,10,10,13.774
-1,2011,11,12,18.332
0,2011,11,32,31.985
5,2011,11,5,8.9825
10,2011,11,11,12.662
15,2011,11,119,144.78
20,2011,11,212,232.33
25,2011,11,167,174.26
30,2011,11,127,138.43
35,2011,11,104,107.6
40,2011,11,83,86.38
45,2011,11,68,90.213
50,2011,11,64,67.746
55,2011,11,42,47.976
60,2011,11,35,29.757
65,2011,11,21,18.993
70,2011,11,12,15.135
75,2011,11,13,7.4666
80,2011,11,9,9.1052
85,2011,11,8,4.7305
90,2011,11,3,3.6108
95,2011,11,13,11.221
-1,2011,12,22,14.942
0,2011,12,27,31.476
5,2011,12,8,7.9033
10,2011,12,9,11.988
15,2011,12,121,130.2
20,2011,12,213,205.42
25,2011,12,169,177.6
30,2011,12,152,140.25
35,2011,12,100,105.52
40,2011,12,95,85.346
45,2011,12,90,82.449
50,2011,12,64,68.627
55,2011,12,44,44.538
60,2011,12,24,32.343
65,2011,12,20,19.991
70,2011,12,13,14.019
75,2011,12,10,7.5069
80,2011,12,7,10.428
85,2011,12,5,6.1618
90,2011,12,3,3.0993
95,2011,12,13,13.019
-1,2012,1,15,19.588
0,2012,1,34,30.145
5,2012,1,3,9.1358
10,2012,1,9,10.614
15,2012,1,115,122.68
20,2012,1,240,212.69
25,2012,1,150,178.01
30,2012,1,136,140.14
35,2012,1,100,103.31
40,2012,1,97,89.368
45,2012,1,85,82.969
50,2012,1,66,59.677
55,2012,1,44,48.679
60,2012,1,36,28.687
65,2012,1,26,19.246
70,2012,1,12,13.979
75,2012,1,15,9.6814
80,2012,1,10,10.32
85,2012,1,9,5.4283
90,2012,1,0,3.1303
95,2012,1,0,10.949
-1,2012,2,26,17.144
0,2012,2,27,30.625
5,2012,2,10,6.7731
10,2012,2,17,10.663
15,2012,2,94,111.54
20,2012,2,170,192.93
25,2012,2,128,167.38
30,2012,2,103,122.59
35,2012,2,79,89.725
40,2012,2,75,83.037
45,2012,2,69,76.217
50,2012,2,64,56.323
55,2012,2,44,43.188
60,2012,2,29,30.952
65,2012,2,20,20.484
70,2012,2,6,10.976
75,2012,2,10,11.09
80,2012,2,5,8.7691
85,2012,2,2,5.3954
90,2012,2,2,2.5254
95,2012,2,1,8.4975
-1,2012,3,19,21.921
0,2012,3,26,31.748
5,2012,3,11,8.4777
10,2012,3,15,11.307
15,2012,3,127,117.86
20,2012,3,228,197.77
25,2012,3,189,156.99
30,2012,3,138,123.33
35,2012,3,100,91.825
40,2012,3,81,87.072
45,2012,3,58,79.868
50,2012,3,70,65.057
55,2012,3,62,46.252
60,2012,3,22,28.458
65,2012,3,19,20.503
70,2012,3,9,10.609
75,2012,3,16,10.714
80,2012,3,13,9.006
85,2012,3,6,5.3253
90,2012,3,1,2.5952
95,2012,3,3,8.6636
-1,2012,4,23,18.185
0,2012,4,29,32.032
5,2012,4,8,10.165
10,2012,4,11,13.804
15,2012,4,111,122.01
20,2012,4,206,221.32
25,2012,4,179,180.97
30,2012,4,136,133.62
35,2012,4,117,103.49
40,2012,4,118,88.508
45,2012,4,84,76.851
50,2012,4,79,66.703
55,2012,4,41,47.993
60,2012,4,39,30.676
65,2012,4,22,20.739
70,2012,4,15,10.519
75,2012,4,12,12.277
80,2012,4,13,8.9236
85,2012,4,4,6.9216
90,2012,4,2,2.1384
95,2012,4,1,8.1541
-1,2012,5,21,23.446
0,2012,5,42,31.092
5,2012,5,7,10.052
10,2012,5,17,13.157
15,2012,5,124,124.49
20,2012,5,237,234.15
25,2012,5,198,179.3
30,2012,5,136,144.14
35,2012,5,113,103.76
40,2012,5,101,102.4
45,2012,5,76,77.09
50,2012,5,81,69.755
55,2012,5,43,45.097
